Code,Day,DayName,Redeemed,UserID,Timestamp,CSAgent,Notes
MSK3421,1,Monday,No,,,,
LUK5791,1,Monday,No,,,,
TFX3081,1,Monday,No,,,,
ESS1266,1,Monday,No,,,,
SAC9192,1,Monday,No,,,,
XGB1779,1,Monday,No,,,,
CEO9381,1,Monday,No,,,,
GCY3111,1,Monday,No,,,,
NHM1716,1,Monday,No,,,,
VEP1525,1,Monday,No,,,,
TLJ1893,1,Monday,No,,,,
LWF1077,1,Monday,No,,,,
LYJ1143,1,Monday,No,,,,
ARV6118,1,Monday,No,,,,
OQD3169,1,Monday,No,,,,
EUY7313,1,Monday,No,,,,
LAX4816,1,Monday,No,,,,
SIW0155,1,Monday,No,,,,
VZF9116,1,Monday,No,,,,
JFF3113,1,Monday,No,,,,
WJO8461,1,Monday,No,,,,
WJA3116,1,Monday,No,,,,
BNF9197,1,Monday,No,,,,
UNJ0671,1,Monday,No,,,,
KJI4961,1,Monday,No,,,,
YPS1937,1,Monday,No,,,,
HMJ0188,1,Monday,No,,,,
FVJ0157,1,Monday,No,,,,
DDP4160,1,Monday,No,,,,
JRG1175,1,Monday,No,,,,
YQS2141,1,Monday,No,,,,
UZI1154,1,Monday,No,,,,
NLS1611,1,Monday,No,,,,
OAN9451,1,Monday,No,,,,
RSN1411,1,Monday,No,,,,
DVG8219,1,Monday,No,,,,
HRD0251,1,Monday,No,,,,
ROF0817,1,Monday,No,,,,
WWL0371,1,Monday,No,,,,
PLP5318,1,Monday,No,,,,
JRL1013,1,Monday,No,,,,
NRB6681,1,Monday,No,,,,
GLI3100,1,Monday,No,,,,
STK8129,1,Monday,No,,,,
HHD4131,1,Monday,No,,,,
FSL5151,1,Monday,No,,,,
XUV6016,1,Monday,No,,,,
OAB4621,1,Monday,No,,,,
UML6712,1,Monday,No,,,,
YEI9301,1,Monday,No,,,,
SRH2815,1,Monday,No,,,,
UEB2321,1,Monday,No,,,,
ZSO1527,1,Monday,No,,,,
RTA7192,1,Monday,No,,,,
HWO4198,1,Monday,No,,,,
WHK3717,1,Monday,No,,,,
WNK3410,1,Monday,No,,,,
VIL8511,1,Monday,No,,,,
TVV9221,1,Monday,No,,,,
BLR2419,1,Monday,No,,,,
UEL1001,1,Monday,No,,,,
XWY1243,1,Monday,No,,,,
FSS1719,1,Monday,No,,,,
GXT6180,1,Monday,No,,,,
ALQ9168,1,Monday,No,,,,
YCU7841,1,Monday,No,,,,
FAJ1080,1,Monday,No,,,,
XEA4145,1,Monday,No,,,,
IWF6100,1,Monday,No,,,,
RNR4221,1,Monday,No,,,,
SPI8120,1,Monday,No,,,,
PQA0651,1,Monday,No,,,,
NNJ3391,1,Monday,No,,,,
XMA7107,1,Monday,No,,,,
FXV1511,1,Monday,No,,,,
YEG4113,1,Monday,No,,,,
NJJ0108,1,Monday,No,,,,
LUM1213,1,Monday,No,,,,
GGZ2251,1,Monday,No,,,,
LLJ5167,1,Monday,No,,,,
YRK4501,1,Monday,No,,,,
GSO1800,1,Monday,No,,,,
OIH3671,1,Monday,No,,,,
EIU7471,1,Monday,No,,,,
GAX3531,1,Monday,No,,,,
OXZ0281,1,Monday,No,,,,
KPC2014,1,Monday,No,,,,
XZI8117,1,Monday,No,,,,
ESL2153,1,Monday,No,,,,
ZMU3149,1,Monday,No,,,,
WDY6011,1,Monday,No,,,,
HBX0961,1,Monday,No,,,,
XXP2121,1,Monday,No,,,,
LRM7178,1,Monday,No,,,,
KPO2918,1,Monday,No,,,,
JRP1714,1,Monday,No,,,,
UYD1315,1,Monday,No,,,,
DEV5166,1,Monday,No,,,,
CAG1341,1,Monday,No,,,,
NCJ7101,1,Monday,No,,,,
DNQ9922,2,Tuesday,No,,,,
FNS4802,2,Tuesday,No,,,,
LTE8210,2,Tuesday,No,,,,
SVA1892,2,Tuesday,No,,,,
AQM0922,2,Tuesday,No,,,,
POO7281,2,Tuesday,No,,,,
DRF2830,2,Tuesday,No,,,,
RWV7223,2,Tuesday,No,,,,
NDB5522,2,Tuesday,No,,,,
BNL4482,2,Tuesday,No,,,,
KCT8276,2,Tuesday,No,,,,
XQS2706,2,Tuesday,No,,,,
CBO4622,2,Tuesday,No,,,,
OQZ0268,2,Tuesday,No,,,,
DAM2495,2,Tuesday,No,,,,
JJL2332,2,Tuesday,No,,,,
UII2955,2,Tuesday,No,,,,
UMT8272,2,Tuesday,No,,,,
DEZ0246,2,Tuesday,No,,,,
YBY5622,2,Tuesday,No,,,,
OWA2454,2,Tuesday,No,,,,
GVD9312,2,Tuesday,No,,,,
ZDZ1264,2,Tuesday,No,,,,
DKD6225,2,Tuesday,No,,,,
CJW6421,2,Tuesday,No,,,,
XVJ2108,2,Tuesday,No,,,,
HUR9452,2,Tuesday,No,,,,
YFZ2571,2,Tuesday,No,,,,
DAO2921,2,Tuesday,No,,,,
NAF2754,2,Tuesday,No,,,,
YYI5892,2,Tuesday,No,,,,
ZEB2233,2,Tuesday,No,,,,
IYM2147,2,Tuesday,No,,,,
MCG1825,2,Tuesday,No,,,,
JBX0121,2,Tuesday,No,,,,
QPL9225,2,Tuesday,No,,,,
IMN0322,2,Tuesday,No,,,,
JEN5262,2,Tuesday,No,,,,
YOJ3882,2,Tuesday,No,,,,
GSR4062,2,Tuesday,No,,,,
QXM2460,2,Tuesday,No,,,,
QJT3212,2,Tuesday,No,,,,
ETZ0126,2,Tuesday,No,,,,
EJQ5425,2,Tuesday,No,,,,
WAL6257,2,Tuesday,No,,,,
KMB2207,2,Tuesday,No,,,,
BIG9242,2,Tuesday,No,,,,
GVQ2574,2,Tuesday,No,,,,
ITX6212,2,Tuesday,No,,,,
AAH2389,2,Tuesday,No,,,,
DPW4289,2,Tuesday,No,,,,
EJC5623,2,Tuesday,No,,,,
PVK7820,2,Tuesday,No,,,,
VVX2372,2,Tuesday,No,,,,
COX5952,2,Tuesday,No,,,,
KKP7712,2,Tuesday,No,,,,
IHA2181,2,Tuesday,No,,,,
QYE9528,2,Tuesday,No,,,,
WPK1213,2,Tuesday,No,,,,
DIF3542,2,Tuesday,No,,,,
VYB9802,2,Tuesday,No,,,,
UGQ1012,2,Tuesday,No,,,,
UED7242,2,Tuesday,No,,,,
GOG2720,2,Tuesday,No,,,,
HEV7272,2,Tuesday,No,,,,
TQZ4972,2,Tuesday,No,,,,
DBH9233,2,Tuesday,No,,,,
OVS8182,2,Tuesday,No,,,,
ZWX2126,2,Tuesday,No,,,,
OSY7200,2,Tuesday,No,,,,
AMQ8722,2,Tuesday,No,,,,
ELP2870,2,Tuesday,No,,,,
DAJ7152,2,Tuesday,No,,,,
HNE2314,2,Tuesday,No,,,,
ARR2293,2,Tuesday,No,,,,
KPU2352,2,Tuesday,No,,,,
HVH6812,2,Tuesday,No,,,,
ELN2163,2,Tuesday,No,,,,
GJI4482,2,Tuesday,No,,,,
DOY1323,2,Tuesday,No,,,,
VFI7250,2,Tuesday,No,,,,
